DestinationCode,AirportCode,Month
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
YE,SA,January
YE,SA,January
AE,SA,January
AE,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
FR,SA,January
AE,SA,January
HK,SA,January
RE,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
AE,SA,January
GB,SA,January
GB,SA,January
GB,SA,January
GB,SA,January
BD,SA,January
BD,SA,January
GR,SA,January
VN,SA,January
HK,SA,January
LU,SA,January
LU,SA,January
KE,SA,January
VN,SA,January
EG,SA,January
EG,SA,January
AE,SA,January
AE,SA,January
AE,SA,January
AE,SA,January
FR,SA,January
DE,SA,January
GB,SA,January
YE,SA,January
YE,SA,January
YE,SA,January
YE,SA,January
YE,SA,January
AE,SA,January
AE,SA,January
AE,SA,January
AE,SA,January
BH,SA,January
BH,SA,January
IR,SA,January
IR,SA,January
NL,SA,January
NL,SA,January
QA,SA,January
QA,SA,January
KW,SA,January
KW,SA,January
DE,SA,January
DE,SA,January
LB,SA,January
LB,SA,January
AE,SA,January
MY,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
IN,SA,January
QA,SA,January
QA,SA,January
IR,SA,January
SY,SA,January
SY,SA,January
JO,SA,January
JO,SA,January
JO,SA,January
JO,SA,January
JO,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
LB,SA,January
LB,SA,January
SA,SA,January
SA,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
BE,SA,January
BE,SA,January
EG,SA,January
EG,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
BD,SA,January
BD,SA,January
SY,SA,January
SY,SA,January
IN,SA,January
IN,SA,January
AE,SA,January
AE,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
HK,SA,January
HK,SA,January
US,SA,January
PK,SA,January
PK,SA,January
SA,SA,January
SA,SA,January
PK,SA,January
PK,SA,January
IN,SA,January
IN,SA,January
SA,SA,January
SA,SA,January
IR,SA,January
IR,SA,January
PH,SA,January
PH,SA,January
IT,SA,January
SA,SA,January
SA,SA,January
GB,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
LK,SA,January
LK,SA,January
IR,SA,January
IR,SA,January
IR,SA,January
IR,SA,January
IR,SA,January
IR,SA,January
OM,SA,January
OM,SA,January
IN,SA,January
IN,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
AE,SA,January
AE,SA,January
SA,SA,January
AE,SA,January
AE,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
EG,SA,January
EG,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
MA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
BD,SA,January
BD,SA,January
JO,SA,January
JO,SA,January
IN,SA,January
IN,SA,January
FR,SA,January
FR,SA,January
DJ,SA,January
DJ,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
MA,SA,January
MA,SA,January
ER,SA,January
ER,SA,January
GB,SA,January
GB,SA,January
GB,SA,January
GB,SA,January
SA,SA,January
SA,SA,January
BD,SA,January
SA,SA,January
BN,SA,January
BN,SA,January
BH,SA,January
BH,SA,January
MA,SA,January
AE,SA,January
AE,SA,January
AE,SA,January
AE,SA,January
AE,SA,January
CN,SA,January
CN,SA,January
SO,SA,January
SO,SA,January
EG,SA,January
EG,SA,January
AE,SA,January
AE,SA,January
ET,SA,January
ET,SA,January
AE,SA,January
AE,SA,January
AF,SA,January
AF,SA,January
YE,SA,January
YE,SA,January
AE,SA,January
AE,SA,January
AE,SA,January
AE,SA,January
BH,SA,January
BH,SA,January
YE,SA,January
YE,SA,January
YE,SA,January
YE,SA,January
YE,SA,January
SO,SA,January
SO,SA,January
DJ,SA,January
DJ,SA,January
KW,SA,January
KW,SA,January
CM,SA,January
KE,SA,January
KE,SA,January
KW,SA,January
KW,SA,January
ER,SA,January
ER,SA,January
DE,SA,January
DE,SA,January
SD,SA,January
SD,SA,January
DE,SA,January
DE,SA,January
LB,SA,January
LB,SA,January
MY,SA,January
MY,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
PK,SA,January
QA,SA,January
QA,SA,January
JO,SA,January
JO,SA,January
SY,SA,January
SY,SA,January
JO,SA,January
JO,SA,January
JO,SA,January
JO,SA,January
JO,SA,January
JO,SA,January
AF,SA,January
AF,SA,January
AE,SA,January
AE,SA,January
SD,SA,January
SD,SA,January
SD,SA,January
SD,SA,January
SG,SA,January
SG,SA,January
SA,SA,January
SA,SA,January
ET,SA,January
ET,SA,January
YE,SA,January
YE,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
JO,SA,January
JO,SA,January
NL,SA,January
NL,SA,January
SA,SA,January
SA,SA,January
AE,SA,January
AE,SA,January
IR,SA,January
IR,SA,January
BH,SA,January
BH,SA,January
LB,SA,January
LB,SA,January
SA,SA,January
SA,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
IN,SA,January
US,SA,January
US,SA,January
IN,SA,January
IN,SA,January
BE,SA,January
BE,SA,January
EG,SA,January
EG,SA,January
CN,SA,January
CN,SA,January
IN,SA,January
IN,SA,January
FR,SA,January
FR,SA,January
ID,SA,January
ID,SA,January
LK,SA,January
LK,SA,January
MA,SA,January
MA,SA,January
IN,SA,January
IN,SA,January
BD,SA,January
BD,SA,January
SY,SA,January
SY,SA,January
IN,SA,January
IN,SA,January
SA,SA,January
SA,SA,January
QA,SA,January
QA,SA,January
SA,SA,January
SA,SA,January
AE,SA,January
AE,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
IT,SA,January
IT,SA,January
DE,SA,January
DE,SA,January
SA,SA,January
SA,SA,January
CH,SA,January
CH,SA,January
DE,SA,January
DE,SA,January
SA,SA,January
SA,SA,January
EG,SA,January
EG,SA,January
HK,SA,January
HK,SA,January
SA,SA,January
SA,SA,January
US,SA,January
US,SA,January
US,SA,January
US,SA,January
PK,SA,January
PK,SA,January
US,SA,January
US,SA,January
ZA,SA,January
ZA,SA,January
PK,SA,January
PK,SA,January
SA,SA,January
SA,SA,January
SD,SA,January
SD,SA,January
MY,SA,January
MY,SA,January
KW,SA,January
KW,SA,January
US,SA,January
US,SA,January
FR,SA,January
FR,SA,January
PK,SA,January
PK,SA,January
GB,SA,January
GB,SA,January
IN,SA,January
IN,SA,January
NG,SA,January
GB,SA,January
GB,SA,January
IN,SA,January
IN,SA,January
ES,SA,January
ES,SA,January
OM,SA,January
OM,SA,January
SA,SA,January
SA,SA,January
IR,SA,January
PH,SA,January
PH,SA,January
IT,SA,January
IT,SA,January
KE,SA,January
KE,SA,January
TD,SA,January
TD,SA,January
US,SA,January
MY,SA,January
PK,SA,January
PK,SA,January
ID,SA,January
ID,SA,January
CN,SA,January
CN,SA,January
SA,SA,January
SA,SA,January
MA,SA,January
MA,SA,January
SA,SA,January
SA,SA,January
YE,SA,January
YE,SA,January
AE,SA,January
AE,SA,January
SA,SA,January
SA,SA,January
SG,SA,January
SG,SA,January
EG,SA,January
EG,SA,January
ES,SA,January
TN,SA,January
TN,SA,January
SA,SA,January
SA,SA,January
DE,SA,January
SA,SA,January
SA,SA,January
ZA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
SA,SA,January
TR,SA,January
EG,SA,January
TR,SA,January
TR,SA,January
TN,SA,January
TN,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
LK,SA,January
LK,SA,January
OM,SA,January
OM,SA,January
SY,SA,January
SY,SA,January
JO,SA,January
JO,SA,January
EG,SA,January
EG,SA,January
AE,SA,January
AE,SA,January
LB,SA,January
LB,SA,January
IN,SA,January
IN,SA,January
SY,SA,January
SY,SA,January
SA,SA,January
SA,SA,January
AE,SA,January
AE,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
TR,SA,January
TR,SA,January
PK,SA,January
PK,SA,January
SA,SA,January
PK,SA,January
SD,SA,January
SD,SA,January
KW,SA,January
KW,SA,January
PK,SA,January
PK,SA,January
SA,SA,January
SA,SA,January
PK,SA,January
PK,SA,January
SA,SA,January
SA,SA,January
TR,SA,January
TR,SA,January
AE,SA,January
AE,SA,January
BH,SA,January
BH,SA,January
AE,SA,January
AE,SA,January
AE,SA,January
AE,SA,January
BH,SA,January
BH,SA,January
TR,SA,January
TR,SA,January
TR,SA,January
TR,SA,January
KW,SA,January
KW,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
EG,SA,January
PK,SA,January
PK,SA,January
QA,SA,January
QA,SA,January
JO,SA,January
JO,SA,January
SA,SA,January
SA,SA,January
JO,SA,January
AE,SA,January
LB,SA,January
IN,SA,January
IN,SA,January
EG,SA,January
EG,SA,January
ID,SA,January
ID,SA,January
BD,SA,January
BD,SA,January
SY,SA,January
SY,SA,January
IN,SA,January
IN,SA,January
